terms/0,terms/1,termNames/0,termNames/1,periods/0/name,periods/0/date,periods/0/value,periods/1/name,periods/1/date,periods/1/value,periods/2/name,periods/2/date,periods/2/value,periods/3/name,periods/3/date,periods/3/value,periods/4/name,periods/4/date,periods/4/value,periods/5/name,periods/5/date,periods/5/value,periods/6/name,periods/6/date,periods/6/value,periods/7/name,periods/7/date,periods/7/value,periods/8/name,periods/8/date,periods/8/value,periods/9/name,periods/9/date,periods/9/value,periods/10/name,periods/10/date,periods/10/value,periods/11/name,periods/11/date,periods/11/value,periods/12/name,periods/12/date,periods/12/value,periods/13/name,periods/13/date,periods/13/value,periods/14/name,periods/14/date,periods/14/value,periods/15/name,periods/15/date,periods/15/value,periods/16/name,periods/16/date,periods/16/value,periods/17/name,periods/17/date,periods/17/value,periods/18/name,periods/18/date,periods/18/value,periods/19/name,periods/19/date,periods/19/value,periods/20/name,periods/20/date,periods/20/value,periods/21/name,periods/21/date,periods/21/value,periods/22/name,periods/22/date,periods/22/value,periods/23/name,periods/23/date,periods/23/value
741880,533590,РЕСПУБЛИКА КАЗАХСТАН,сельская местность,2019 год,31.12.2019,15715,2018 год,31.12.2018,13675,2009 год,31.12.2009,9303,2011 год,31.12.2011,11070,2000 год,31.12.2000,4638,2005 год,31.12.2005,5404,2002 год,31.12.2002,5673,2001 год,31.12.2001,5372,2007 год,31.12.2007,8097,2003 год,31.12.2003,5266,2008 год,31.12.2008,8377,2006 год,31.12.2006,6301,2004 год,31.12.2004,5204,2016 год,31.12.2016,13277,2010 год,31.12.2010,10563,2015 год,31.12.2015,13447,2013 год,31.12.2013,13117,2014 год,31.12.2014,13240,2012 год,31.12.2012,12281,2017 год,31.12.2017,13825,2022 год,31.12.2022,11288,2021 год,31.12.2021,13414,2020 год,31.12.2020,13583,2023 год,31.12.2023,10838
741880,741917,РЕСПУБЛИКА КАЗАХСТАН,Всего,2019 год,31.12.2019,59796,2018 год,31.12.2018,54797,2009 год,31.12.2009,39466,2011 год,31.12.2011,44862,2000 год,31.12.2000,27391,2005 год,31.12.2005,32377,2002 год,31.12.2002,31236,2001 год,31.12.2001,29599,2007 год,31.12.2007,36107,2003 год,31.12.2003,31717,2008 год,31.12.2008,36014,2006 год,31.12.2006,35834,2004 год,31.12.2004,31492,2016 год,31.12.2016,51993,2010 год,31.12.2010,41617,2015 год,31.12.2015,53293,2013 год,31.12.2013,51482,2014 год,31.12.2014,52673,2012 год,31.12.2012,48513,2017 год,31.12.2017,54626,2022 год,31.12.2022,44517,2021 год,31.12.2021,48239,2020 год,31.12.2020,48002,2023 год,31.12.2023,40227
258742,741917,КОСТАНАЙСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,3392,2018 год,31.12.2018,3186,2009 год,31.12.2009,2947,2011 год,31.12.2011,3165,2000 год,31.12.2000,2254,2005 год,31.12.2005,2231,2002 год,31.12.2002,2369,2001 год,31.12.2001,2498,2007 год,31.12.2007,2673,2003 год,31.12.2003,2524,2008 год,31.12.2008,2749,2006 год,31.12.2006,2553,2004 год,31.12.2004,2233,2016 год,31.12.2016,3127,2010 год,31.12.2010,3018,2015 год,31.12.2015,3242,2013 год,31.12.2013,3414,2014 год,31.12.2014,3340,2012 год,31.12.2012,3418,2017 год,31.12.2017,3268,2022 год,31.12.2022,2412,2021 год,31.12.2021,2410,2020 год,31.12.2020,2661,2023 год,31.12.2023,2324
256619,741917,КАРАГАНДИНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,5386,2018 год,31.12.2018,5154,2009 год,31.12.2009,4467,2011 год,31.12.2011,4916,2000 год,31.12.2000,3251,2005 год,31.12.2005,3939,2002 год,31.12.2002,3593,2001 год,31.12.2001,3371,2007 год,31.12.2007,4121,2003 год,31.12.2003,3549,2008 год,31.12.2008,4077,2006 год,31.12.2006,4251,2004 год,31.12.2004,3674,2016 год,31.12.2016,5053,2010 год,31.12.2010,4589,2015 год,31.12.2015,5285,2013 год,31.12.2013,5654,2014 год,31.12.2014,5560,2012 год,31.12.2012,5203,2017 год,31.12.2017,5261,2022 год,31.12.2022,3644,2021 год,31.12.2021,4717,2020 год,31.12.2020,4586,2023 год,31.12.2023,3475
247783,741917,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,2865,2018 год,31.12.2018,2521,2009 год,31.12.2009,1954,2011 год,31.12.2011,2330,2000 год,31.12.2000,1483,2005 год,31.12.2005,1762,2002 год,31.12.2002,1607,2001 год,31.12.2001,1527,2007 год,31.12.2007,1838,2003 год,31.12.2003,1684,2008 год,31.12.2008,1933,2006 год,31.12.2006,1809,2004 год,31.12.2004,1633,2016 год,31.12.2016,2390,2010 год,31.12.2010,2039,2015 год,31.12.2015,2583,2013 год,31.12.2013,2553,2014 год,31.12.2014,2684,2012 год,31.12.2012,2489,2017 год,31.12.2017,2633,2022 год,31.12.2022,1804,2021 год,31.12.2021,2028,2020 год,31.12.2020,2302,2023 год,31.12.2023,1422
256619,533589,КАРАГАНДИНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,4894,2018 год,31.12.2018,4762,2009 год,31.12.2009,4001,2011 год,31.12.2011,4474,2000 год,31.12.2000,3223,2005 год,31.12.2005,3890,2002 год,31.12.2002,3543,2001 год,31.12.2001,3311,2007 год,31.12.2007,3687,2003 год,31.12.2003,3513,2008 год,31.12.2008,3646,2006 год,31.12.2006,4190,2004 год,31.12.2004,3631,2016 год,31.12.2016,4608,2010 год,31.12.2010,4066,2015 год,31.12.2015,4834,2013 год,31.12.2013,5164,2014 год,31.12.2014,5096,2012 год,31.12.2012,4730,2017 год,31.12.2017,4830,2022 год,31.12.2022,3201,2021 год,31.12.2021,4078,2020 год,31.12.2020,3981,2023 год,31.12.2023,3027
258742,533589,КОСТАНАЙСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,2301,2018 год,31.12.2018,2067,2009 год,31.12.2009,2037,2011 год,31.12.2011,2084,2000 год,31.12.2000,1763,2005 год,31.12.2005,1735,2002 год,31.12.2002,1884,2001 год,31.12.2001,1986,2007 год,31.12.2007,1895,2003 год,31.12.2003,2073,2008 год,31.12.2008,1808,2006 год,31.12.2006,2062,2004 год,31.12.2004,1846,2016 год,31.12.2016,2039,2010 год,31.12.2010,1975,2015 год,31.12.2015,2038,2013 год,31.12.2013,2149,2014 год,31.12.2014,2082,2012 год,31.12.2012,2228,2017 год,31.12.2017,2055,2022 год,31.12.2022,1739,2021 год,31.12.2021,1570,2020 год,31.12.2020,1730,2023 год,31.12.2023,1632
263009,741917,ПАВЛОДАРСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,3191,2018 год,31.12.2018,3161,2009 год,31.12.2009,2652,2011 год,31.12.2011,2994,2000 год,31.12.2000,2014,2005 год,31.12.2005,2287,2002 год,31.12.2002,2222,2001 год,31.12.2001,2285,2007 год,31.12.2007,2484,2003 год,31.12.2003,2103,2008 год,31.12.2008,2455,2006 год,31.12.2006,2466,2004 год,31.12.2004,2223,2016 год,31.12.2016,2957,2010 год,31.12.2010,2747,2015 год,31.12.2015,3271,2013 год,31.12.2013,3241,2014 год,31.12.2014,3272,2012 год,31.12.2012,3066,2017 год,31.12.2017,3169,2022 год,31.12.2022,2132,2021 год,31.12.2021,2626,2020 год,31.12.2020,2712,2023 год,31.12.2023,2131
264990,741917,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,4737,2018 год,31.12.2018,4621,2009 год,31.12.2009,4255,2011 год,31.12.2011,4541,2000 год,31.12.2000,3521,2005 год,31.12.2005,3750,2002 год,31.12.2002,4120,2001 год,31.12.2001,3652,2007 год,31.12.2007,4360,2003 год,31.12.2003,3967,2008 год,31.12.2008,4003,2006 год,31.12.2006,4502,2004 год,31.12.2004,3880,2016 год,31.12.2016,4869,2010 год,31.12.2010,4378,2015 год,31.12.2015,5111,2013 год,31.12.2013,4994,2014 год,31.12.2014,5008,2012 год,31.12.2012,4714,2017 год,31.12.2017,5045,2022 год,31.12.2022,2259,2021 год,31.12.2021,4166,2020 год,31.12.2020,3962,2023 год,31.12.2023,2286
247783,533590,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,1026,2018 год,31.12.2018,933,2009 год,31.12.2009,605,2011 год,31.12.2011,741,2000 год,31.12.2000,477,2005 год,31.12.2005,470,2002 год,31.12.2002,553,2001 год,31.12.2001,480,2007 год,31.12.2007,551,2003 год,31.12.2003,507,2008 год,31.12.2008,608,2006 год,31.12.2006,447,2004 год,31.12.2004,435,2016 год,31.12.2016,840,2010 год,31.12.2010,722,2015 год,31.12.2015,915,2013 год,31.12.2013,771,2014 год,31.12.2014,868,2012 год,31.12.2012,899,2017 год,31.12.2017,936,2022 год,31.12.2022,691,2021 год,31.12.2021,809,2020 год,31.12.2020,821,2023 год,31.12.2023,541
