,District,Area,Year,Number
0,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2019 год,1839
1,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2018 год,1588.0
2,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2009 год,1349.0
3,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2011 год,1589.0
4,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2000 год,1006.0
5,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2005 год,1292.0
6,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2002 год,1054.0
7,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2001 год,1047.0
8,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2007 год,1287.0
9,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2003 год,1177.0
10,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2008 год,1325.0
11,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2006 год,1362.0
12,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2004 год,1198.0
13,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2016 год,1550.0
14,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2010 год,1317.0
15,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2015 год,1668.0
16,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2013 год,1782.0
17,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2014 год,1816.0
18,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2012 год,1590.0
19,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2017 год,1697.0
20,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2022 год,1113.0
21,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2021 год,1219.0
22,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2020 год,1481.0
23,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2023 год,881.0
24,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,1026
25,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2018 год,933.0
26,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2009 год,605.0
27,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2011 год,741.0
28,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2000 год,477.0
29,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2005 год,470.0
30,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2002 год,553.0
31,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2001 год,480.0
32,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2007 год,551.0
33,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2003 год,507.0
34,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2008 год,608.0
35,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2006 год,447.0
