,District,Area,Year,Number
0,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2019 год,3099
1,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2018 год,3182
2,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2009 год,3476
3,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2011 год,3612
4,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2000 год,2395
5,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2005 год,3060
6,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2002 год,2275
7,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2001 год,2185
8,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2007 год,3393
9,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2003 год,2855
10,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2008 год,3615
11,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2006 год,3396
12,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2004 год,2783
13,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2016 год,3117
14,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2010 год,3250
15,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2015 год,3406
16,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2013 год,4048
17,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2014 год,3853
18,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2012 год,3814
19,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2017 год,3370
20,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2022 год,2952
21,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2021 год,3183
22,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2020 год,2872
23,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2023 год,2728
24,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,1673
25,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2018 год,1598
26,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2009 год,2519
27,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2011 год,2661
28,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2000 год,2534
29,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2005 год,2609
30,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2002 год,2449
31,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2001 год,2201
32,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2007 год,2994
33,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2003 год,2749
34,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2008 год,2779
35,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2006 год,2721
36,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2004 год,2627
37,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2016 год,1753
38,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2010 год,2645
39,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2015 год,2059
40,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2013 год,2097
41,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2014 год,2064
42,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2012 год,2667
43,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2017 год,1856
44,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2022 год,1848
45,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2021 год,1501
46,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2020 год,1417
47,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2023 год,1722
48,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2019 год,4772
49,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2018 год,4780
50,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2009 год,5995
51,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2011 год,6273
52,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2000 год,4929
53,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2005 год,5669
54,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2002 год,4724
55,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2001 год,4386
56,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2007 год,6387
57,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2003 год,5604
58,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2008 год,6394
59,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2006 год,6117
60,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2004 год,5410
61,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2016 год,4870
62,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2010 год,5895
63,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2015 год,5465
64,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2013 год,6145
65,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2014 год,5917
66,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2012 год,6481
67,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2017 год,5226
68,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2022 год,4800
69,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2021 год,4684
70,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2020 год,4289
71,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2023 год,4450
72,КОКШЕТАУ Г.А.,городская местность,2019 год,1611
73,КОКШЕТАУ Г.А.,городская местность,2018 год,1658
74,КОКШЕТАУ Г.А.,городская местность,2009 год,1567
75,КОКШЕТАУ Г.А.,городская местность,2011 год,1630
76,КОКШЕТАУ Г.А.,городская местность,2016 год,1558
77,КОКШЕТАУ Г.А.,городская местность,2010 год,1496
78,КОКШЕТАУ Г.А.,городская местность,2015 год,1734
79,КОКШЕТАУ Г.А.,городская местность,2013 год,1825
80,КОКШЕТАУ Г.А.,городская местность,2014 год,1881
81,КОКШЕТАУ Г.А.,городская местность,2012 год,1839
82,КОКШЕТАУ Г.А.,городская местность,2017 год,1703
83,КОКШЕТАУ Г.А.,городская местность,2022 год,1372
84,КОКШЕТАУ Г.А.,городская местность,2021 год,1704
85,КОКШЕТАУ Г.А.,городская местность,2020 год,1478
86,КОКШЕТАУ Г.А.,городская местность,2023 год,1249
87,КОКШЕТАУ Г.А.,сельская местность,2019 год,108
88,КОКШЕТАУ Г.А.,сельская местность,2018 год,73
89,КОКШЕТАУ Г.А.,сельская местность,2009 год,22
90,КОКШЕТАУ Г.А.,сельская местность,2011 год,18
91,КОКШЕТАУ Г.А.,сельская местность,2016 год,85
92,КОКШЕТАУ Г.А.,сельская местность,2010 год,28
93,КОКШЕТАУ Г.А.,сельская местность,2015 год,94
94,КОКШЕТАУ Г.А.,сельская местность,2013 год,3
95,КОКШЕТАУ Г.А.,сельская местность,2014 год,60
96,КОКШЕТАУ Г.А.,сельская местность,2012 год,7
97,КОКШЕТАУ Г.А.,сельская местность,2017 год,81
98,КОКШЕТАУ Г.А.,сельская местность,2022 год,86
99,КОКШЕТАУ Г.А.,сельская местность,2021 год,49
100,КОКШЕТАУ Г.А.,сельская местность,2020 год,85
101,КОКШЕТАУ Г.А.,сельская местность,2023 год,110
102,КОКШЕТАУ Г.А.,Всего,2019 год,1719
103,КОКШЕТАУ Г.А.,Всего,2018 год,1731
104,КОКШЕТАУ Г.А.,Всего,2009 год,1589
105,КОКШЕТАУ Г.А.,Всего,2011 год,1648
106,КОКШЕТАУ Г.А.,Всего,2016 год,1643
107,КОКШЕТАУ Г.А.,Всего,2010 год,1524
108,КОКШЕТАУ Г.А.,Всего,2015 год,1828
109,КОКШЕТАУ Г.А.,Всего,2013 год,1828
110,КОКШЕТАУ Г.А.,Всего,2014 год,1941
111,КОКШЕТАУ Г.А.,Всего,2012 год,1846
112,КОКШЕТАУ Г.А.,Всего,2017 год,1784
113,КОКШЕТАУ Г.А.,Всего,2022 год,1458
114,КОКШЕТАУ Г.А.,Всего,2021 год,1753
115,КОКШЕТАУ Г.А.,Всего,2020 год,1563
116,КОКШЕТАУ Г.А.,Всего,2023 год,1359
117,СТЕПНОГОРСК Г.А.,городская местность,2019 год,467
118,СТЕПНОГОРСК Г.А.,городская местность,2018 год,483
119,СТЕПНОГОРСК Г.А.,городская местность,2009 год,520
120,СТЕПНОГОРСК Г.А.,городская местность,2011 год,561
121,СТЕПНОГОРСК Г.А.,городская местность,2016 год,527
122,СТЕПНОГОРСК Г.А.,городская местность,2010 год,488
123,СТЕПНОГОРСК Г.А.,городская местность,2015 год,506
124,СТЕПНОГОРСК Г.А.,городская местность,2013 год,651
125,СТЕПНОГОРСК Г.А.,городская местность,2014 год,472
126,СТЕПНОГОРСК Г.А.,городская местность,2012 год,572
127,СТЕПНОГОРСК Г.А.,городская местность,2017 год,512
128,СТЕПНОГОРСК Г.А.,городская местность,2022 год,431
129,СТЕПНОГОРСК Г.А.,городская местность,2021 год,461
130,СТЕПНОГОРСК Г.А.,городская местность,2020 год,428
131,СТЕПНОГОРСК Г.А.,городская местность,2023 год,411
132,СТЕПНОГОРСК Г.А.,сельская местность,2019 год,21
133,СТЕПНОГОРСК Г.А.,сельская местность,2018 год,14
134,СТЕПНОГОРСК Г.А.,сельская местность,2016 год,19
135,СТЕПНОГОРСК Г.А.,сельская местность,2015 год,12
136,СТЕПНОГОРСК Г.А.,сельская местность,2013 год,2
137,СТЕПНОГОРСК Г.А.,сельская местность,2014 год,9
138,СТЕПНОГОРСК Г.А.,сельская местность,2017 год,23
139,СТЕПНОГОРСК Г.А.,сельская местность,2022 год,12
140,СТЕПНОГОРСК Г.А.,сельская местность,2021 год,21
141,СТЕПНОГОРСК Г.А.,сельская местность,2020 год,21
142,СТЕПНОГОРСК Г.А.,сельская местность,2023 год,6
143,СТЕПНОГОРСК Г.А.,Всего,2019 год,488
144,СТЕПНОГОРСК Г.А.,Всего,2018 год,497
145,СТЕПНОГОРСК Г.А.,Всего,2009 год,520
146,СТЕПНОГОРСК Г.А.,Всего,2011 год,561
147,СТЕПНОГОРСК Г.А.,Всего,2016 год,546
148,СТЕПНОГОРСК Г.А.,Всего,2010 год,488
149,СТЕПНОГОРСК Г.А.,Всего,2015 год,518
150,СТЕПНОГОРСК Г.А.,Всего,2013 год,653
151,СТЕПНОГОРСК Г.А.,Всего,2014 год,481
152,СТЕПНОГОРСК Г.А.,Всего,2012 год,572
153,СТЕПНОГОРСК Г.А.,Всего,2017 год,535
154,СТЕПНОГОРСК Г.А.,Всего,2022 год,443
155,СТЕПНОГОРСК Г.А.,Всего,2021 год,482
156,СТЕПНОГОРСК Г.А.,Всего,2020 год,449
157,СТЕПНОГОРСК Г.А.,Всего,2023 год,417
158,АККОЛЬСКИЙ РАЙОН,городская местность,2019 год,130
159,АККОЛЬСКИЙ РАЙОН,городская местность,2018 год,106
160,АККОЛЬСКИЙ РАЙОН,городская местность,2009 год,132
161,АККОЛЬСКИЙ РАЙОН,городская местность,2011 год,161
162,АККОЛЬСКИЙ РАЙОН,городская местность,2016 год,114
163,АККОЛЬСКИЙ РАЙОН,городская местность,2010 год,146
164,АККОЛЬСКИЙ РАЙОН,городская местность,2015 год,111
165,АККОЛЬСКИЙ РАЙОН,городская местность,2013 год,153
166,АККОЛЬСКИЙ РАЙОН,городская местность,2014 год,140
167,АККОЛЬСКИЙ РАЙОН,городская местность,2012 год,170
168,АККОЛЬСКИЙ РАЙОН,городская местность,2017 год,110
169,АККОЛЬСКИЙ РАЙОН,городская местность,2022 год,118
170,АККОЛЬСКИЙ РАЙОН,городская местность,2021 год,104
171,АККОЛЬСКИЙ РАЙОН,городская местность,2020 год,112
172,АККОЛЬСКИЙ РАЙОН,городская местность,2023 год,86
173,АККОЛЬСКИЙ РАЙОН,сельская местность,2019 год,42
174,АККОЛЬСКИЙ РАЙОН,сельская местность,2018 год,45
175,АККОЛЬСКИЙ РАЙОН,сельская местность,2009 год,72
176,АККОЛЬСКИЙ РАЙОН,сельская местность,2011 год,83
177,АККОЛЬСКИЙ РАЙОН,сельская местность,2016 год,38
178,АККОЛЬСКИЙ РАЙОН,сельская местность,2010 год,90
179,АККОЛЬСКИЙ РАЙОН,сельская местность,2015 год,67
180,АККОЛЬСКИЙ РАЙОН,сельская местность,2013 год,62
181,АККОЛЬСКИЙ РАЙОН,сельская местность,2014 год,69
182,АККОЛЬСКИЙ РАЙОН,сельская местность,2012 год,90
183,АККОЛЬСКИЙ РАЙОН,сельская местность,2017 год,54
184,АККОЛЬСКИЙ РАЙОН,сельская местность,2022 год,48
185,АККОЛЬСКИЙ РАЙОН,сельская местность,2021 год,51
186,АККОЛЬСКИЙ РАЙОН,сельская местность,2020 год,30
187,АККОЛЬСКИЙ РАЙОН,сельская местность,2023 год,44
188,АККОЛЬСКИЙ РАЙОН,Всего,2019 год,172
189,АККОЛЬСКИЙ РАЙОН,Всего,2018 год,151
190,АККОЛЬСКИЙ РАЙОН,Всего,2009 год,204
191,АККОЛЬСКИЙ РАЙОН,Всего,2011 год,244
192,АККОЛЬСКИЙ РАЙОН,Всего,2016 год,152
193,АККОЛЬСКИЙ РАЙОН,Всего,2010 год,236
194,АККОЛЬСКИЙ РАЙОН,Всего,2015 год,178
195,АККОЛЬСКИЙ РАЙОН,Всего,2013 год,215
196,АККОЛЬСКИЙ РАЙОН,Всего,2014 год,209
197,АККОЛЬСКИЙ РАЙОН,Всего,2012 год,260
198,АККОЛЬСКИЙ РАЙОН,Всего,2017 год,164
199,АККОЛЬСКИЙ РАЙОН,Всего,2022 год,166
