terms/0,terms/1,termNames/0,termNames/1,periods/0/name,periods/0/date,periods/0/value,periods/1/name,periods/1/date,periods/1/value,periods/2/name,periods/2/date,periods/2/value,periods/3/name,periods/3/date,periods/3/value,periods/4/name,periods/4/date,periods/4/value,periods/5/name,periods/5/date,periods/5/value,periods/6/name,periods/6/date,periods/6/value,periods/7/name,periods/7/date,periods/7/value,periods/8/name,periods/8/date,periods/8/value,periods/9/name,periods/9/date,periods/9/value,periods/10/name,periods/10/date,periods/10/value,periods/11/name,periods/11/date,periods/11/value,periods/12/name,periods/12/date,periods/12/value,periods/13/name,periods/13/date,periods/13/value,periods/14/name,periods/14/date,periods/14/value,periods/15/name,periods/15/date,periods/15/value,periods/16/name,periods/16/date,periods/16/value,periods/17/name,periods/17/date,periods/17/value,periods/18/name,periods/18/date,periods/18/value,periods/19/name,periods/19/date,periods/19/value,periods/20/name,periods/20/date,periods/20/value,periods/21/name,periods/21/date,periods/21/value,periods/22/name,periods/22/date,periods/22/value,periods/23/name,periods/23/date,periods/23/value
741880,533590,РЕСПУБЛИКА КАЗАХСТАН,сельская местность,2019 год,31.12.2019,41274,2018 год,31.12.2018,41833,2009 год,31.12.2009,55260,2011 год,31.12.2011,63173,2000 год,31.12.2000,38867,2005 год,31.12.2005,45971,2002 год,31.12.2002,40457,2001 год,31.12.2001,38457,2007 год,31.12.2007,60611,2003 год,31.12.2003,43620,2008 год,31.12.2008,53045,2006 год,31.12.2006,51582,2004 год,31.12.2004,45172,2016 год,31.12.2016,47030,2010 год,31.12.2010,58359,2015 год,31.12.2015,49842,2013 год,31.12.2013,60953,2014 год,31.12.2014,54156,2012 год,31.12.2012,61792,2017 год,31.12.2017,44529,2022 год,31.12.2022,43020,2021 год,31.12.2021,40841,2020 год,31.12.2020,40063,2023 год,31.12.2023,40842
741880,741917,РЕСПУБЛИКА КАЗАХСТАН,Всего,2019 год,31.12.2019,139504,2018 год,31.12.2018,137797,2009 год,31.12.2009,140785,2011 год,31.12.2011,160494,2000 год,31.12.2000,90873,2005 год,31.12.2005,123045,2002 год,31.12.2002,98986,2001 год,31.12.2001,92852,2007 год,31.12.2007,146379,2003 год,31.12.2003,110414,2008 год,31.12.2008,135572,2006 год,31.12.2006,137204,2004 год,31.12.2004,114685,2016 год,31.12.2016,141702,2010 год,31.12.2010,146443,2015 год,31.12.2015,148769,2013 год,31.12.2013,168447,2014 год,31.12.2014,159328,2012 год,31.12.2012,164681,2017 год,31.12.2017,141791,2022 год,31.12.2022,128359,2021 год,31.12.2021,140256,2020 год,31.12.2020,128839,2023 год,31.12.2023,120851
258742,741917,КОСТАНАЙСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,5524,2018 год,31.12.2018,5682,2009 год,31.12.2009,6434,2011 год,31.12.2011,7562,2000 год,31.12.2000,5597,2005 год,31.12.2005,6000,2002 год,31.12.2002,5613,2001 год,31.12.2001,5546,2007 год,31.12.2007,6943,2003 год,31.12.2003,6139,2008 год,31.12.2008,5735,2006 год,31.12.2006,6336,2004 год,31.12.2004,5703,2016 год,31.12.2016,5628,2010 год,31.12.2010,6659,2015 год,31.12.2015,6418,2013 год,31.12.2013,7115,2014 год,31.12.2014,6591,2012 год,31.12.2012,7166,2017 год,31.12.2017,6010,2022 год,31.12.2022,5353,2021 год,31.12.2021,5371,2020 год,31.12.2020,4749,2023 год,31.12.2023,4964
256619,741917,КАРАГАНДИНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,10355,2018 год,31.12.2018,10813,2009 год,31.12.2009,11979,2011 год,31.12.2011,13205,2000 год,31.12.2000,8564,2005 год,31.12.2005,11241,2002 год,31.12.2002,8843,2001 год,31.12.2001,8408,2007 год,31.12.2007,12246,2003 год,31.12.2003,9720,2008 год,31.12.2008,11428,2006 год,31.12.2006,11767,2004 год,31.12.2004,10185,2016 год,31.12.2016,10748,2010 год,31.12.2010,12194,2015 год,31.12.2015,11481,2013 год,31.12.2013,13117,2014 год,31.12.2014,12344,2012 год,31.12.2012,13100,2017 год,31.12.2017,10973,2022 год,31.12.2022,7876,2021 год,31.12.2021,9891,2020 год,31.12.2020,9401,2023 год,31.12.2023,7511
247783,741917,АКМОЛИНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,4772,2018 год,31.12.2018,4780,2009 год,31.12.2009,5995,2011 год,31.12.2011,6273,2000 год,31.12.2000,4929,2005 год,31.12.2005,5669,2002 год,31.12.2002,4724,2001 год,31.12.2001,4386,2007 год,31.12.2007,6387,2003 год,31.12.2003,5604,2008 год,31.12.2008,6394,2006 год,31.12.2006,6117,2004 год,31.12.2004,5410,2016 год,31.12.2016,4870,2010 год,31.12.2010,5895,2015 год,31.12.2015,5465,2013 год,31.12.2013,6145,2014 год,31.12.2014,5917,2012 год,31.12.2012,6481,2017 год,31.12.2017,5226,2022 год,31.12.2022,4800,2021 год,31.12.2021,4684,2020 год,31.12.2020,4289,2023 год,31.12.2023,4450
256619,533589,КАРАГАНДИНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,9539,2018 год,31.12.2018,9912,2009 год,31.12.2009,10280,2011 год,31.12.2011,11762,2000 год,31.12.2000,7153,2005 год,31.12.2005,10009,2002 год,31.12.2002,7598,2001 год,31.12.2001,7164,2007 год,31.12.2007,10065,2003 год,31.12.2003,8421,2008 год,31.12.2008,9703,2006 год,31.12.2006,10506,2004 год,31.12.2004,8960,2016 год,31.12.2016,9758,2010 год,31.12.2010,10573,2015 год,31.12.2015,10398,2013 год,31.12.2013,11805,2014 год,31.12.2014,11189,2012 год,31.12.2012,11790,2017 год,31.12.2017,10012,2022 год,31.12.2022,6732,2021 год,31.12.2021,9131,2020 год,31.12.2020,8631,2023 год,31.12.2023,6509
258742,533589,КОСТАНАЙСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,3800,2018 год,31.12.2018,3731,2009 год,31.12.2009,3827,2011 год,31.12.2011,4677,2000 год,31.12.2000,3071,2005 год,31.12.2005,3586,2002 год,31.12.2002,3252,2001 год,31.12.2001,3302,2007 год,31.12.2007,3829,2003 год,31.12.2003,3671,2008 год,31.12.2008,3368,2006 год,31.12.2006,3876,2004 год,31.12.2004,3181,2016 год,31.12.2016,3605,2010 год,31.12.2010,3986,2015 год,31.12.2015,4047,2013 год,31.12.2013,4544,2014 год,31.12.2014,4075,2012 год,31.12.2012,4554,2017 год,31.12.2017,3878,2022 год,31.12.2022,3755,2021 год,31.12.2021,3765,2020 год,31.12.2020,3213,2023 год,31.12.2023,3421
263009,741917,ПАВЛОДАРСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,5235,2018 год,31.12.2018,5369,2009 год,31.12.2009,6235,2011 год,31.12.2011,6987,2000 год,31.12.2000,4821,2005 год,31.12.2005,5854,2002 год,31.12.2002,4948,2001 год,31.12.2001,4749,2007 год,31.12.2007,7112,2003 год,31.12.2003,5313,2008 год,31.12.2008,5992,2006 год,31.12.2006,6483,2004 год,31.12.2004,5310,2016 год,31.12.2016,5173,2010 год,31.12.2010,6484,2015 год,31.12.2015,6125,2013 год,31.12.2013,6896,2014 год,31.12.2014,6508,2012 год,31.12.2012,7018,2017 год,31.12.2017,5646,2022 год,31.12.2022,4703,2021 год,31.12.2021,5197,2020 год,31.12.2020,4870,2023 год,31.12.2023,4435
264990,741917,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,9290,2018 год,31.12.2018,9421,2009 год,31.12.2009,11776,2011 год,31.12.2011,12730,2000 год,31.12.2000,8764,2005 год,31.12.2005,11028,2002 год,31.12.2002,9571,2001 год,31.12.2001,8825,2007 год,31.12.2007,12814,2003 год,31.12.2003,9982,2008 год,31.12.2008,11234,2006 год,31.12.2006,12055,2004 год,31.12.2004,10323,2016 год,31.12.2016,10241,2010 год,31.12.2010,11469,2015 год,31.12.2015,11167,2013 год,31.12.2013,13107,2014 год,31.12.2014,12269,2012 год,31.12.2012,12988,2017 год,31.12.2017,10121,2022 год,31.12.2022,4632,2021 год,31.12.2021,9262,2020 год,31.12.2020,8570,2023 год,31.12.2023,4571
247783,533590,АКМОЛИНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,1673,2018 год,31.12.2018,1598,2009 год,31.12.2009,2519,2011 год,31.12.2011,2661,2000 год,31.12.2000,2534,2005 год,31.12.2005,2609,2002 год,31.12.2002,2449,2001 год,31.12.2001,2201,2007 год,31.12.2007,2994,2003 год,31.12.2003,2749,2008 год,31.12.2008,2779,2006 год,31.12.2006,2721,2004 год,31.12.2004,2627,2016 год,31.12.2016,1753,2010 год,31.12.2010,2645,2015 год,31.12.2015,2059,2013 год,31.12.2013,2097,2014 год,31.12.2014,2064,2012 год,31.12.2012,2667,2017 год,31.12.2017,1856,2022 год,31.12.2022,1848,2021 год,31.12.2021,1501,2020 год,31.12.2020,1417,2023 год,31.12.2023,1722
